CNES;UF;IBGE;NOME;LOGRADOURO;BAIRRO;LATITUDE;LONGITUDE
33820;52;520170;UNIDADE_DE_SAUDE_DA_FAMILIA_PSF_307;RUA_H;NOVO_MUNDO;-15,90682;-52,22545
108;26;260290;USF_ALTO_DOS_INDIOS;RUA_17;PONTE_DOS_CARVALHOS;-8,28389;-35,0321
116;26;260290;USF_CHARNECA_II;RUA_02;CHARNECA;-8,28353;-35,02819
124;26;260290;USF_SAO_FRANCISCO_I;RUA_MANOEL_DOMINGOS_BARROS;SAO_FRANCISCO;-8,287;-35,035
132;26;260290;USF_ROSARIO;RUA_01;ROSARIO;-8,28389;-35,0321
140;26;260290;USF_JUSSARAL;ESTRADA_DA_VITORIA;JUSSARAL;-8,287;-35,035
167;26;260290;USF_MERCES;RUA_DO_FERREIRO;MERCES;-8,287;-35,035
175;26;260290;USF_SUAPE;RUA_JOSE_MIGUEL_DE_SANTANA;SUAPE;-8,287;-35,035
248;26;260290;USF_MANOEL_VIGIA;RUA_PREFEITO_DIOMEDES_FERREIRA_DE_MELO;PONTE_DOS_CARVALHOS;-8,287;-35,035
256;26;260290;USF_SANTA_ROSA;RUA_SANTA_ROSA;PONTEZINHA;-8,2243;-34,96841
264;26;260290;USF_MARUIM;RUA_DO_PORTO;PONTE_DOS_CARVALHOS;-8,2313;-34,98027
272;26;260290;USF_ALTO_DO_SOL;2_TRAV_DA_SAUDADE;PONTE_DOS_CARVALHOS;-8,287;-35,035
280;26;260290;USF_CACARI;RUA_ANTONIO_DA_SILVA;PONTE_DOS_CARVALHOS;-8,287;-35,035
299;26;260290;USF_TORRINHA;RUA_JOSE_LINO_DE_LIMA;ALTO_CRUZEIRO;-8,287;-35,035
302;26;260290;USF_SANTO_ESTEVAO;RUA_DO_CEMITERIO;PONTE_DOS_CARVALHOS;-8,21811;-35,22944
310;26;260290;USF_ALTO_DA_IGREJA;RUA_PREFEITO_DIOMEDES_FERREIRA_DE_MELO;PONTE_DOS_CARVALHOS;-8,287;-35,035
337;26;260290;USF_ARARIBA;ENGENHO_ARARIBA_DE_BAIXO;ARARIBA;-8,287;-35,035
345;26;260290;USF_ALTO_DO_PIRES;1_TRAV_DO_CRUZEIRO;PONTE_DOS_CARVALHOS;-8,287;-35,035
388;26;260290;USF_SAO_FRANCISCO_III;RUA_28;SAO_FRANCISCO;-8,28389;-35,0321
48062;29;291650;U_S_F_BOA_VISTA;POVOADO_BOA_VISTA;ZONA_RURAL;-11,317;-38,233
16829;41;410690;UMS_BUTIATUVINHA_PSF;AVENIDA_MANOEL_RIBAS;SANTA_FELICIDADE;-25,39237;-49,351
23078;31;310620;CENTRO_DE_SAUDE_GOIANIA;RUA_POMBA;GOIANIA;-19,86359;-43,89783
760;26;261160;US_161_CS_PROF_ROMERO_MARQUES;RUA_CARLOS_GOMES;BONGI;-8,054;-34,881
817;26;261160;US_149_CS_OLINTO_OLIVEIRA;RUA_FRANCISCO_DE_PAULA;CAXANGA;-8,054;-34,881
