CNES;UF;IBGE;NOME;LOGRADOURO;BAIRRO
33820;52;520170;UNIDADE_DE_SAUDE_DA_FAMILIA_PSF_307;RUA_H;NOVO_MUNDO
108;26;260290;USF_ALTO_DOS_INDIOS;RUA_17;PONTE_DOS_CARVALHOS
116;26;260290;USF_CHARNECA_II;RUA_02;CHARNECA
124;26;260290;USF_SAO_FRANCISCO_I;RUA_MANOEL_DOMINGOS_BARROS;SAO_FRANCISCO
132;26;260290;USF_ROSARIO;RUA_01;ROSARIO
140;26;260290;USF_JUSSARAL;ESTRADA_DA_VITORIA;JUSSARAL
167;26;260290;USF_MERCES;RUA_DO_FERREIRO;MERCES
175;26;260290;USF_SUAPE;RUA_JOSE_MIGUEL_DE_SANTANA;SUAPE
248;26;260290;USF_MANOEL_VIGIA;RUA_PREFEITO_DIOMEDES_FERREIRA_DE_MELO;PONTE_DOS_CARVALHOS
256;26;260290;USF_SANTA_ROSA;RUA_SANTA_ROSA;PONTEZINHA
264;26;260290;USF_MARUIM;RUA_DO_PORTO;PONTE_DOS_CARVALHOS
272;26;260290;USF_ALTO_DO_SOL;2_TRAV_DA_SAUDADE;PONTE_DOS_CARVALHOS
280;26;260290;USF_CACARI;RUA_ANTONIO_DA_SILVA;PONTE_DOS_CARVALHOS
299;26;260290;USF_TORRINHA;RUA_JOSE_LINO_DE_LIMA;ALTO_CRUZEIRO
302;26;260290;USF_SANTO_ESTEVAO;RUA_DO_CEMITERIO;PONTE_DOS_CARVALHOS
310;26;260290;USF_ALTO_DA_IGREJA;RUA_PREFEITO_DIOMEDES_FERREIRA_DE_MELO;PONTE_DOS_CARVALHOS
337;26;260290;USF_ARARIBA;ENGENHO_ARARIBA_DE_BAIXO;ARARIBA
345;26;260290;USF_ALTO_DO_PIRES;1_TRAV_DO_CRUZEIRO;PONTE_DOS_CARVALHOS
388;26;260290;USF_SAO_FRANCISCO_III;RUA_28;SAO_FRANCISCO
48062;29;291650;U_S_F_BOA_VISTA;POVOADO_BOA_VISTA;ZONA_RURAL
